Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-036639,2014-08,06/30/2014 17:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",9010,HALL ST,79, , ,9010,HALL,899311.1,1054075
14-039038,2014-08,06/30/2014 18:00,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2533,TAMM AVE,11, , ,2533,TAMM,878444.3,1012786
14-036676,2014-08,07/01/2014 12:35,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
14-036822,2014-08,07/01/2014 12:56,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6650,MANCHESTER AVE,10, ,@K MART - MANCHESTER,6650,MANCHESTER,877121.1,1013930
14-037328,2014-08,07/01/2014 13:41,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3940,NEBRASKA AVE,16, , ,3940,NEBRASKA,896223.3,1001569
14-035244,2014-08,07/01/2014 18:00,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,0,S GRAND BLVD / GRAVOIS AVE,19,SCHNUCKS PARKING LOT, , , ,893507.8,1004763
14-035893,2014-08,07/01/2014 20:00,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1817,ALFRED AVE,13, , ,1817,ALFRED,888876.1,1013901
14-034681,2014-08,07/02/2014 08:00,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,5800,W FLORISSANT AVE,72,TEACH ME KIDS ACADEMY, ,4014,UNION,892070.1,1045559
14-037366,2014-08,07/03/2014 06:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5899,NINA PL,46, , ,5899,NINA,879489.7,1026281
14-036201,2014-08,07/03/2014 13:00,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8524,CHURCH RD,74, , ,8524,CHURCH,896452.4,1049669
14-038931,2014-08,07/03/2014 15:00,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,2317,ANN AVE,23, , ,2317,ANN,900006,1011085
14-038156,2014-08,07/04/2014 19:24,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1042,LOUGHBOROUGH AVE,1, ,@QDOBA - LOUGHBOROUGH,1020,LOUGHBOROUGH,888177.8,992117.5
14-036843,2014-08,07/04/2014 20:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,5632,JULIAN AVE,48, , ,5632,JULIAN,882357.8,1030752
14-035741,2014-08,07/04/2014 23:59,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,800,WASHINGTON AVE,35,HERTZ,CAR RENTAL,800,WASHINGTON,908187.4,1018534
14-036125,2014-08,07/05/2014 02:00,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",2615,WASHINGTON AVE,37, , ,2615,WASHINGTON,901832.9,1020376
14-029772,2014-08,07/05/2014 07:15, , , ,-1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,3532,TAYLOR,56, , , , ,0,0
14-037473,2014-08,07/05/2014 08:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",5009,MIAMI ST,14, , ,3702,KINGSHIGHWAY,884176.8,1005934
14-034169,2014-08,07/05/2014 14:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,1,BARNES JEWISH HOSPITAL PLZ,38, ,@1 BARNES HOSPITAL PLZ,1, ,887396.8,1020150
14-029824,2014-08,07/05/2014 14:15, , , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,5728,FLORISSANT,72, , ,5728,FLORISSANT,0,0
14-029824,2014-08,07/05/2014 14:15, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5728,FLORISSANT,72, , ,5728,FLORISSANT,0,0
14-030752,2014-08,07/06/2014 00:30,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,601,CLARK AVE,35,BALLPARK VILLAGE, ,601,CLARK,908223.8,1016086
14-035498,2014-08,07/06/2014 05:10,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,3202,S KINGSHIGHWAY BLVD,15, ,@HOME DEPOT,3202,KINGSHIGHWAY,886045.3,1008369
14-036457,2014-08,07/06/2014 09:16,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4444,MARGARETTA AVE,69, , ,4444,MARGARETTA,895432.4,1033762
14-036503,2014-08,07/06/2014 15:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3949,LINDELL BLVD,38, , ,3949,LINDELL,893684.9,1021926
14-033128,2014-08,07/07/2014 12:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,0,S KINGSHIGHWAY BLVD,82, , ,5500,FOREST PARK,0,0
14-038280,2014-08,07/07/2014 12:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,7135,SAINT JAMES SQ,10, , ,7135,SAINT JAMES,872722.5,1008594
14-030170,2014-08,07/07/2014 13:25,Y, , ,1, , 42014,4,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,1923,NEWHOUSE AVE,65, , ,1923,NEWHOUSE,904596.7,1030879
14-030548,2014-08,07/08/2014 11:30,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3761,MERAMEC ST,16, ,APT 2,3761,MERAMEC,892275.9,1001225
14-030366,2014-08,07/08/2014 13:14,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,N KINGSHIGHWAY BLVD / NATURAL,55, , , , ,891049,1035207
14-036830,2014-08,07/08/2014 15:00,Y, , ,1, , 51312,4,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1118,MALLINCKRODT ST,65, , ,1118,MALLINCKRODT,906450.6,1029489
14-039305,2014-08,07/08/2014 16:29,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,1641,S KINGSHIGHWAY BLVD,12,U HAUL,U HAUL,1641,KINGSHIGHWAY,886712.8,1014540
