MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-04,04/23/2009 17:55,Y, , ,1, 91303,2,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,3157,SUBLETTE AVE,13,POLICE STATION,@SOUTH PATROL DIVISION,3157,SUBLETTE,882564.6,1008801
2009-04,04/23/2009 17:55,Y, , ,1, 42013,2,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE,4928,FINKMAN ST,6,ON STREET, ,4928,FINKMAN,881728.5,998608.5
2009-04,04/23/2009 18:00,Y, , ,1, 51330,1,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY,2241,KEOKUK ST,18, ,SINGLE FAMILY RESIDENCE-OCCUPIED,2241,KEOKUK,898386.3,1001780
2009-04,04/23/2009 18:00,Y, , ,1, 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,3737,LINCOLN AVE,59, , ,3737,LINCOLN,898689.1,1027432
2009-04,04/23/2009 18:19,Y, , ,1,182999,7,DRUGS-POSSESSION/OTHR UNSPEC DRUG,1407,SEMPLE AVE,78, , , , ,884881.9,1031273
2009-04,04/23/2009 18:30,Y, , ,1, 52222,9,BURGLARY-BUSINESS/NIT/UNLAW ENT/UNOCCUPIED,4605,OLIVE ST,38, ,OSAGE RESTAURANT, , ,889588.8,1025368
2009-04,04/23/2009 18:30,Y, , ,1, 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1820,MARKET ST,36,LANDRY S SEAFOOD HOUSE,@UNION STATION, , ,903731.7,1018016
2009-04,04/23/2009 18:42,Y, , ,1,241100,8,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3600,FAIR AVE,56, , , , ,897389.3,1031231
2009-04,04/23/2009 18:50,Y, , ,1,182400,1,DRUGS-POSSESSION/MARIJUANA,5501,PUTNAM ST,1, ,CITY STREET,5501,PUTNAM,892606.2,994829.8
2009-04,04/23/2009 19:25,Y, , ,1, 91123,5,SIMPLE ASSAULT-CHILD/NO INJURY,2000,E OBEAR AVE,66, , , , ,903207.4,1033400
2009-04,04/23/2009 19:30,Y, , ,1, 51222,2,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,4902,DEVONSHIRE AVE,7, ,MULTI-FAMILY BRICK APARTMENT BUILDIN,4902,DEVONSHIRE,884056.8,1002564
2009-04,04/23/2009 19:38,Y, , ,1, 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4735,LEE AVE,69, , ,4735,LEE,894078.7,1035865
2009-04,04/23/2009 19:38,Y, , ,1, 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4735,LEE AVE,69, , ,4735,LEE,894078.7,1035865
2009-04,04/23/2009 19:38,Y, , ,1, 41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4735,LEE AVE,69, , ,4735,LEE,894078.7,1035865
2009-04,04/23/2009 19:45,Y, , ,1, 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1446,CASS AVE,61, , ,1446,CASS,906523.9,1021998
2009-04,04/23/2009 20:00,Y, , ,1, 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,2509,N BROADWAY,64, ,WAREHOUSE,2509,BROADWAY,908662.5,1026128
2009-04,04/23/2009 20:00,Y, , ,1,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5515,ROSA AVE,6, ,ON STREET,5515,ROSA,880739.3,1000577
2009-04,04/23/2009 20:00,Y, , ,1,142320,9,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1517,S THERESA AVE,31, , , , ,895433.6,1014664
2009-04,04/23/2009 20:21,Y, , ,1,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,3819,COTTAGE AVE,59, , , , ,898177,1027346
2009-04,04/23/2009 20:21,Y, , ,1, 69702,4,LARCENY-ALL OTHER UNDER $500,721,S 7TH ST,35,GOOGLE LLC, , , ,907450.7,1014650
2009-04,04/23/2009 20:30,Y, , ,1, 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3253,NEBRASKA AVE,30, ,FOUR FAMILY RESIDENCE,3253,NEBRASKA,896749.6,1006056
2009-04,04/23/2009 20:30,Y, , ,1,182999,7,DRUGS-POSSESSION/OTHR UNSPEC DRUG,5552,GREER AVE,50, , ,5552,GREER,886477.1,1036201
2009-04,04/23/2009 20:35,Y, , ,1, 37111,9,ROBBERY-MISC/FIREARM USED/SUCCESSFUL,3610,OLIVE ST,77,ST LOUIS PARKING GARAGE, , , ,896029.9,1021573
2009-04,04/23/2009 20:45,Y, , ,1, 65701,9,LARCENY-MTR VEH PARTS UNDER $500,3112,CAROLINE ST,31, , ,3112,CAROLINE,897730.5,1015083
2009-04,04/23/2009 20:50,Y, , ,1, 91123,7,SIMPLE ASSAULT-CHILD/NO INJURY,5510,ETZEL AVE,48, , ,5528,ETZEL,883822.8,1030435
2009-04,04/23/2009 20:50,Y, , ,1, 41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3352,OHIO AVE,30, , ,3350,OHIO,898175.4,1005504
2009-04,04/23/2009 20:50,Y, , ,1, 41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3352,OHIO AVE,30, , ,3350,OHIO,898175.4,1005504
2009-04,04/23/2009 20:50,Y, , ,1, 41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3352,OHIO AVE,30, , ,3350,OHIO,898175.4,1005504
2009-04,04/23/2009 20:50,Y, , ,1, 41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3352,OHIO AVE,30, , ,3350,OHIO,898175.4,1005504
2009-04,04/23/2009 20:50,Y, , ,1, 91303,3,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,3352,OHIO AVE,30, , ,3350,OHIO,898175.4,1005504
2009-04,04/23/2009 21:00,Y, , ,1, 52312,1,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,5031,GRAVOIS AVE,5, ,SMALL BUSINESS,5031,GRAVOIS,886432.3,1000402
2009-04,04/23/2009 21:11,Y, , ,1,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4723,N 20TH ST,66, , , , ,903061.1,1033547
2009-04,04/23/2009 21:30,Y, , ,1, 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4800,MAGNOLIA AVE,81, , ,4800,MAGNOLIA,890086.2,1009696
2009-04,04/23/2009 21:30,Y, , ,1, 91113,8,SIMPLE ASSAULT-ADULT/NO INJURY,2928,N EUCLID AVE,55, , ,2928,EUCLID,891054.6,1033241
2009-04,04/23/2009 21:32,Y, , ,1, 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,5800,MICHIGAN AVE,1, , , , ,892848.6,993552.1
2009-04,04/23/2009 21:32,Y, , ,1, 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,5800,MICHIGAN AVE,1, , , , ,892848.6,993552.1
