Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-036310,2015-10,7/21/2015 1:35, , , ,1, ,31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3742,MINNESOTA,19, , ,3751,JEFFERSON,0,0
15-036310,2015-10,7/21/2015 1:35, , , ,-1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3742,MINNESOTA,19, , ,3751,JEFFERSON,0,0
15-036493,2015-10,7/21/2015 22:51,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5065,DURANT AVE,71, , ,5065,DURANT,893230.6,1039941
15-036851,2015-10,7/23/2015 15:00,Y, , ,1, ,91124,5,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",255,UNION BLVD,47, , ,4014,UNION,884322.6,1024279
15-037776,2015-10,7/28/2015 15:50,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,5062,MAFFITT AVE,52, ,STREET,5058,MAFFITT,889037.1,1033072
15-037836,2015-10,7/28/2015 22:15, , , ,-1, ,72113,4,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,3841, ,59, , ,3841,ST FERDINAND,0,0
15-050791,2015-10,7/29/2015 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,8544,PARK LN,73, , ,8544,PARK,892371.5,1049233
15-052475,2015-10,7/30/2015 15:00,Y, , ,1, ,21000,5,RAPE -- FORCIBLE,5900,ENRIGHT AVE,48, , ,5900,ENRIGHT,0,0
15-056009,2015-10,8/1/2015 8:00,Y, , ,1, ,95100,2,"STALKING (HARASSMENT ONLY, NO THREAT)",6125,VICTORIA,42, , ,6125,VICTORIA,0,0
15-052829,2015-10,8/1/2015 11:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5348,RUSKIN AVE,71, , ,5348,RUSKIN,893946.1,1040552
15-051411,2015-10,8/2/2015 12:00,Y, , ,1, ,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3167,IOWA AVE,30, , ,3167,IOWA,897853.4,1006691
15-039468,2015-10,8/2/2015 20:00,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500,4700,DR MARTIN LUTHER KING DR,54, ,STREET,4700,DR MARTIN LUTHER KING,890497.8,1029290
15-038911,2015-10,8/3/2015 12:00,Y, , ,1, ,36421,3,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS,2014,S 7TH ST,20,DOLLAR GENERAL, ,2014,BROADWAY,905159,1009996
15-052783,2015-10,8/5/2015 12:00,Y, , ,1, ,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3451,KEOKUK ST,16, , ,3451,KEOKUK,893732.1,1002510
15-052066,2015-10,8/6/2014 12:34,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
15-053550,2015-10,8/6/2015 12:10,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1408,N KINGSHIGHWAY BLVD,53, , ,1408,KINGSHIGHWAY,888420.4,1030180
15-050928,2015-10,8/6/2015 15:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3343,MICHIGAN AVE,30, , ,3343,MICHIGAN 63118,0,0
15-050929,2015-10,8/6/2015 15:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3343,MICHIGAN AVE,30, , ,3343,MICHIGAN 63118,0,0
15-043078,2015-10,8/7/2015 8:00,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 9TH ST / COLE ST,35,CONVENTION CENTER PARKING LOT, , , ,908354.2,1020067
15-039650,2015-10,8/7/2015 9:20,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4217,E SACRAMENTO AVE,68, ,REAR GARAGE,4217,SACRAMENTO,897191,1032216
